transaction_date,description,amount,vendor,department,gl_code
2024-09-08,Trade receivable from GlobalTech,31427.82,GlobalTech,Engineering,1200
2024-02-19,Hotel accommodation – Hertz Rental business trip,454.75,Hertz Rental,Sales,5200
2024-07-22,Office supplies purchase from Staples,1827.13,Staples,Executive,5100
2024-03-22,Annual license – Google Workspace enterprise plan,14842.19,Google Workspace,Marketing,5400
2024-08-13,Property insurance renewal – Hartford,6370.75,Hartford,Executive,6100
2024-10-16,Service contract revenue – Boston Consulting,5190.45,Boston Consulting,Engineering,4200
2024-09-22,Annual license – Salesforce enterprise plan,7422.91,Salesforce,Engineering,5400
2024-10-23,Property insurance renewal – Hartford,12755.47,Hartford,Operations,6100
2024-07-29,Referral bonus payout – partner Internal Sales,2423.01,Internal Sales,IT,5600
2024-08-06,Car rental – Delta Airlines for site inspection,4746.74,Delta Airlines,Marketing,5200
2024-11-18,Cyber liability insurance – State Farm,5979.67,State Farm,Marketing,6100
2024-01-17,Uber/Lyft rides – HR travel,1890.92,Hilton,HR,5200
2024-09-21,Desk accessories and organizers – W.B. Mason,813.6,W.B. Mason,Operations,5100
2024-01-15,Cloud hosting charges – Jira Atlassian,7930.11,Jira Atlassian,Marketing,5400
2024-12-29,Accrued wages payable – Executive department,6962.53,Tax Authority,Executive,2200
2024-09-13,Revenue from Walmart – bulk purchase,35147.6,Walmart,HR,4100
2024-04-14,Monthly depreciation – office equipment,3086.43,Internal,Marketing,6200
2024-04-06,Point of sale transaction – store #6838,74325.33,Costco,HR,4100
2024-12-30,Tax preparation – Baker McKenzie engagement,15339.35,Baker McKenzie,Engineering,5500
2024-01-07,Natural gas utility – Comcast Business,4441.94,Comcast Business,Marketing,5300
2024-05-21,Bank transfer received from PNC Financial,33023.08,PNC Financial,Sales,1100
2024-11-08,Bi-weekly salary disbursement – Finance,71243.56,ADP Payroll,Finance,5900
2024-12-09,Revenue from Walmart – bulk purchase,142732.44,Walmart,Marketing,4100
2024-04-06,Vehicle depreciation – fleet #2569,7468.95,Internal,Legal,6200
2024-12-02,Influencer partnership – Google Ads,5664.86,Google Ads,Legal,5800
2024-08-23,Accrued tax liability – Q3,21357.93,Internal,Executive,2200
2024-05-24,Outstanding payable to Office Depot,21809.37,Office Depot,Sales,2100
2024-06-29,Depreciation – computer hardware Q2,2324.99,Internal,Engineering,6200
2024-03-04,Trade show booth – LinkedIn Marketing expo,13969.58,LinkedIn Marketing,Sales,5800
2024-09-17,Flight booking – Marketing team to conference,978.89,United Airlines,Marketing,5200
2024-06-30,Overtime compensation – Sales team,52454.41,Paychex,Sales,5900
2024-05-24,Warehouse lease payment – Brookfield Properties,6439.38,Brookfield Properties,Marketing,5700
2024-07-08,Monthly electricity bill – Pacific Gas & Electric,620.5,Pacific Gas & Electric,Marketing,5300
2024-02-09,Email campaign platform – Mailchimp,14142.65,Mailchimp,Marketing,5800
2024-05-15,Vehicle depreciation – fleet #7245,4912.7,Internal,Sales,6200
2024-12-29,Leasehold improvements amortization,575.7,Internal,Executive,6200
2024-10-28,Property insurance renewal – Chubb,5371.04,Chubb,Operations,6100
2024-03-19,Petty cash replenishment,29656.33,Bank of America,Executive,1100
2024-06-23,Sales commission – Marketing team Q2,15125.47,Partner Network,Marketing,5600
2024-06-30,Monthly SaaS subscription – Microsoft 365,14432.5,Microsoft 365,Sales,5400
2024-11-02,Performance bonus – sales rep #1529,15029.07,Channel Partners,Legal,5600
2024-07-05,Co-working space rental – WeWork,3588.01,WeWork,Legal,5700
2024-09-26,Point of sale transaction – store #4819,78670.77,Best Buy,Marketing,4100
2024-07-22,Storage unit rental – Brookfield Properties,22878.67,Brookfield Properties,Marketing,5700
2024-09-19,Prior period adjustment – retained earnings,50910.59,Internal,Finance,3100
2024-08-19,Internet service – Comcast Business fiber plan,4318.44,Comcast Business,IT,5300
2024-01-20,Sales commission – Operations team Q1,17024.39,Channel Partners,Operations,5600
2024-12-09,Internet service – Verizon fiber plan,583.73,Verizon,Marketing,5300
2024-09-03,Warehouse lease payment – CBRE Group,26946.0,CBRE Group,Operations,5700
2024-06-09,Google Ads campaign – HR budget Q2,12714.39,Trade Show Inc,HR,5800
2024-07-26,Parking facility lease – WeWork,22664.58,WeWork,Executive,5700
2024-01-11,Monthly retainer – McKinsey advisory,47028.17,McKinsey,Executive,4200
2024-10-27,Monthly depreciation – office equipment,8076.29,Internal,Executive,6200
2024-06-19,Cloud hosting charges – AWS,14910.95,AWS,Sales,5400
2024-11-17,Agent commission – contract #3622,9500.29,Partner Network,Sales,5600
2024-09-17,Bank transfer received from Bank of America,36454.01,Bank of America,IT,1100
2024-08-27,Employee wages – pay period #5708,61083.81,Internal HR,Operations,5900
2024-06-01,HR consulting retainer – Grant Thornton,2166.54,Grant Thornton,Finance,5500
2024-01-12,Warehouse lease payment – Regus,24057.81,Regus,HR,5700
2024-12-29,Water and sewage charges – Verizon,401.1,Verizon,Engineering,5300
2024-06-01,Online sales revenue – batch #2195,25261.61,Walmart,Operations,4100
2024-05-12,Content marketing services – HubSpot,14080.85,HubSpot,Sales,5800
2024-03-27,External audit fee – Ernst & Young FY review,11614.03,Ernst & Young,Sales,5500
2024-02-13,Cloud hosting charges – Slack,6297.67,Slack,Executive,5400
2024-04-01,Dividend declaration – Q4 distribution,96290.9,Internal,Legal,3100
2024-07-04,Internet service – Comcast Business fiber plan,336.89,Comcast Business,HR,5300
2024-05-24,Consulting engagement – Bain & Co project,17830.11,Bain & Co,HR,4200
2024-11-15,Agent commission – contract #9123,10855.14,Internal Sales,Operations,5600
2024-08-14,Trade show booth – LinkedIn Marketing expo,16116.52,LinkedIn Marketing,Executive,5800
2024-10-11,Storage unit rental – JLL,22141.13,JLL,HR,5700
2024-05-08,Dividend declaration – Q3 distribution,84987.77,Internal,Engineering,3100
2024-11-07,Cyber liability insurance – Hartford,3764.11,Hartford,Sales,6100
2024-04-08,Bi-weekly salary disbursement – Executive,80460.43,Paychex,Executive,5900
2024-06-01,Agent commission – contract #8899,23858.48,Channel Partners,Operations,5600
2024-02-27,Client payment due from Pinnacle Industries,55287.47,Pinnacle Industries,Sales,1200
2024-07-03,Storage unit rental – Regus,18202.41,Regus,Executive,5700
2024-06-29,Point of sale transaction – store #5545,26238.72,Costco,Finance,4100
2024-06-29,Warehouse lease payment – Regus,13019.88,Regus,Marketing,5700
2024-12-13,ATM withdrawal for operations,3389.89,Chase Bank,Executive,1100
2024-08-26,Warehouse lease payment – JLL,14063.42,JLL,Operations,5700
2024-07-30,Co-working space rental – Brookfield Properties,9970.62,Brookfield Properties,Sales,5700
2024-09-06,Stationery order #3241 from Office Depot,2477.85,Office Depot,Engineering,5100
2024-09-18,Social media advertising – Trade Show Inc,15175.51,Trade Show Inc,Legal,5800
2024-07-14,Monthly retainer – PwC Engagement advisory,67376.43,PwC Engagement,Operations,4200
2024-03-12,Cyber liability insurance – Chubb,8170.68,Chubb,HR,6100
2024-12-29,Channel partner commission – Internal Sales,5370.25,Internal Sales,IT,5600
2024-01-28,Printer toner and paper – Office Depot,1997.71,Office Depot,Marketing,5100
2024-04-13,Co-working space rental – Regus,5942.64,Regus,Legal,5700
2024-06-26,HR consulting retainer – Ernst & Young,26374.89,Ernst & Young,Operations,5500
2024-06-17,Breakroom supplies from Quill,988.69,Quill,IT,5100
2024-08-16,Trade show booth – Meta Ads expo,13953.87,Meta Ads,Finance,5800
2024-12-19,Trade receivable from Vertex Solutions,69249.4,Vertex Solutions,Marketing,1200
2024-11-15,Point of sale transaction – store #6984,102624.99,Walmart,IT,4100
2024-03-08,Cloud hosting charges – Adobe Creative Cloud,2687.9,Adobe Creative Cloud,Executive,5400
2024-08-03,Invoice #2908 – Meridian Holdings payment pending,13649.21,Meridian Holdings,Engineering,1200
2024-08-25,AP entry – HP Inc supplies,3507.36,HP Inc,IT,2100
2024-08-10,Agent commission – contract #2463,14014.45,Partner Network,Legal,5600
2024-07-12,Tax preparation – BDO engagement,13131.88,BDO,Sales,5500
2024-08-23,Annual license – Adobe Creative Cloud enterprise plan,8729.71,Adobe Creative Cloud,Legal,5400
2024-03-29,Annual license – Slack enterprise plan,3413.51,Slack,Sales,5400
2024-03-16,Accounting & audit services – BDO,44812.27,BDO,Sales,5500
2024-05-16,Dividend declaration – Q2 distribution,77891.28,Internal,HR,3100
2024-05-08,Consulting engagement – PwC Engagement project,37159.59,PwC Engagement,Finance,4200
2024-03-17,Natural gas utility – AT&T,1117.97,AT&T,Marketing,5300
2024-05-18,Tax preparation – Baker McKenzie engagement,43053.33,Baker McKenzie,Sales,5500
2024-06-02,Hotel accommodation – Hilton business trip,4410.36,Hilton,Legal,5200
2024-08-28,Product sale to Amazon – order #8275,55022.11,Amazon,Marketing,4100
2024-12-19,Monthly SaaS subscription – Salesforce,11841.76,Salesforce,Sales,5400
2024-01-20,Developer tools subscription – Adobe Creative Cloud,13723.15,Adobe Creative Cloud,HR,5400
2024-04-27,Water and sewage charges – Pacific Gas & Electric,4568.61,Pacific Gas & Electric,Legal,5300
2024-02-02,Tax preparation – Baker McKenzie engagement,39862.18,Baker McKenzie,Marketing,5500
2024-03-11,Storage unit rental – WeWork,21770.86,WeWork,IT,5700
2024-08-16,Referral bonus payout – partner Sales Team,16040.12,Sales Team,Operations,5600
2024-07-22,Telephone/VoIP charges – Comcast Business,3040.38,Comcast Business,HR,5300
2024-02-14,D&O insurance policy – Chubb,7978.16,Chubb,Executive,6100
2024-04-20,Parking facility lease – WeWork,19795.84,WeWork,Legal,5700
2024-08-14,Client payment due from Acme Corp,25356.82,Acme Corp,Engineering,1200
2024-02-13,Point of sale transaction – store #1771,1197.35,Walmart,Finance,4100
2024-09-20,Content marketing services – Mailchimp,12623.97,Mailchimp,Executive,5800
2024-05-23,Sales commission – Finance team Q2,9404.73,Channel Partners,Finance,5600
2024-02-07,Natural gas utility – Pacific Gas & Electric,1435.42,Pacific Gas & Electric,Executive,5300
2024-02-03,Uber/Lyft rides – HR travel,2788.91,United Airlines,HR,5200
2024-10-19,Trade show booth – Meta Ads expo,2894.42,Meta Ads,Engineering,5800
2024-11-25,Bank transfer received from Bank of America,20452.47,Bank of America,Finance,1100
2024-10-31,Storage unit rental – CBRE Group,23221.17,CBRE Group,Sales,5700
2024-08-16,Storage unit rental – Regus,14202.88,Regus,IT,5700
2024-08-19,Social media advertising – HubSpot,2160.96,HubSpot,Legal,5800
2024-12-08,Uber/Lyft rides – Sales travel,5873.35,Hertz Rental,Sales,5200
2024-04-03,Software renewal – Jira Atlassian platform,10200.78,Jira Atlassian,Legal,5400
2024-09-28,Monthly electricity bill – AT&T,4689.13,AT&T,Legal,5300
2024-12-08,Desk accessories and organizers – Staples,718.25,Staples,HR,5100
2024-04-11,Overtime compensation – Sales team,96833.38,Paychex,Sales,5900
2024-09-19,Stationery order #5861 from Quill,324.51,Quill,Legal,5100
2024-05-26,Product licensing revenue from Amazon,77104.42,Amazon,IT,4100
2024-12-07,Retained earnings adjustment – FY closing,141973.95,Internal,Finance,3100
2024-12-28,Social media advertising – LinkedIn Marketing,16245.57,LinkedIn Marketing,HR,5800
2024-02-28,AP entry – Office Depot supplies,14473.87,Office Depot,Sales,2100
2024-02-26,Stationery order #6525 from Amazon Business,1825.84,Amazon Business,Executive,5100
2024-09-03,Invoice #5866 – Acme Corp payment pending,57822.22,Acme Corp,Engineering,1200
2024-12-08,Software renewal – AWS platform,554.59,AWS,Finance,5400
2024-02-21,Accrued tax liability – Q1,21064.56,ADP Payroll,IT,2200
2024-09-05,Employee wages – pay period #6730,36948.99,ADP Payroll,Executive,5900
2024-04-27,Social media advertising – Google Ads,2153.4,Google Ads,Marketing,5800
2024-11-08,Car rental – Delta Airlines for site inspection,7198.43,Delta Airlines,Finance,5200
2024-06-28,Net income transfer to retained earnings,158474.14,Internal,Operations,3100
2024-07-18,Internet service – AT&T fiber plan,2764.27,AT&T,HR,5300
2024-04-18,Bank transfer received from Citibank,42261.61,Citibank,Legal,1100
2024-02-28,Furniture & fixtures depreciation,1792.52,Internal,Legal,6200
2024-07-14,Performance bonus – sales rep #5841,5336.42,Sales Team,Operations,5600
2024-10-24,Parking facility lease – WeWork,24243.34,WeWork,Executive,5700
2024-12-01,Monthly electricity bill – AT&T,4681.62,AT&T,Sales,5300
2024-08-29,Vehicle depreciation – fleet #5789,2004.67,Internal,Marketing,6200
2024-12-13,HR consulting retainer – Baker McKenzie,19537.84,Baker McKenzie,Executive,5500
2024-09-20,Car rental – Marriott Hotels for site inspection,3711.56,Marriott Hotels,Finance,5200
2024-11-01,Software renewal – Salesforce platform,277.32,Salesforce,Executive,5400
2024-12-14,Net income transfer to retained earnings,77395.18,Internal,Marketing,3100
2024-06-01,Hotel accommodation – Hertz Rental business trip,4192.69,Hertz Rental,Finance,5200
2024-03-16,Storage unit rental – JLL,16384.2,JLL,Finance,5700
2024-09-17,Trade receivable from GlobalTech,64416.44,GlobalTech,Finance,1200
2024-10-04,Stock replenishment order #4525,32560.73,Grainger,Finance,1300
2024-04-28,Warehouse lease payment – Regus,10821.76,Regus,HR,5700
2024-08-04,Car rental – Delta Airlines for site inspection,6603.87,Delta Airlines,Operations,5200
2024-02-13,External audit fee – Grant Thornton FY review,40862.92,Grant Thornton,Executive,5500
2024-08-01,HR consulting retainer – Ernst & Young,16570.42,Ernst & Young,Engineering,5500
2024-06-26,Furniture & fixtures depreciation,1567.84,Internal,Sales,6200
2024-04-18,Sales commission – IT team Q2,808.69,Sales Team,IT,5600
2024-06-09,Office supplies purchase from Office Depot,1034.89,Office Depot,IT,5100
2024-04-09,Print media advertisement – Meta Ads,17991.71,Meta Ads,IT,5800
2024-07-07,Product sale to Costco – order #1053,116968.1,Costco,Sales,4100
2024-06-23,Trade receivable from Acme Corp,22476.41,Acme Corp,Sales,1200
2024-01-13,Content marketing services – Google Ads,4238.29,Google Ads,Marketing,5800
2024-09-04,Workers compensation insurance – Allianz,9857.65,Allianz,Engineering,6100
2024-04-01,Uber/Lyft rides – Operations travel,5844.65,Hertz Rental,Operations,5200
2024-05-16,Accrued interest on credit facility,14419.05,Tax Authority,Executive,2200
2024-08-03,Parking facility lease – Brookfield Properties,2037.04,Brookfield Properties,Operations,5700
2024-12-17,Bulk materials procurement from Grainger,23938.57,Grainger,Marketing,1300
2024-11-16,Channel partner commission – Sales Team,16172.19,Sales Team,HR,5600
2024-11-16,Monthly office rent – WeWork building,9273.8,WeWork,HR,5700
2024-06-18,Monthly office rent – WeWork building,8932.42,WeWork,Engineering,5700
2024-01-05,Furniture & fixtures depreciation,5739.24,Internal,Finance,6200
2024-04-04,Cloud hosting charges – Google Workspace,7891.91,Google Workspace,Executive,5400
2024-10-04,Monthly electricity bill – Comcast Business,3415.29,Comcast Business,Marketing,5300
2024-08-20,Trade show booth – Trade Show Inc expo,6296.83,Trade Show Inc,IT,5800
2024-07-07,Implementation services – project #3312,56363.04,McKinsey,Legal,4200
2024-05-11,Performance bonus – sales rep #6058,17623.75,Channel Partners,HR,5600
2024-09-14,Agent commission – contract #1863,7872.69,Internal Sales,Marketing,5600
2024-09-11,Annual license – Microsoft 365 enterprise plan,12514.17,Microsoft 365,Legal,5400
2024-03-05,Monthly payroll – Finance department,71232.0,Internal HR,Finance,5900
2024-09-10,General liability insurance premium – Allianz,12779.11,Allianz,Operations,6100
2024-07-14,Office supplies purchase from Office Depot,1261.6,Office Depot,Sales,5100
2024-06-03,Overtime compensation – Marketing team,19257.29,Paychex,Marketing,5900
2024-03-21,Desk accessories and organizers – Quill,998.27,Quill,Finance,5100
2024-10-31,Google Ads campaign – Engineering budget Q3,4314.63,HubSpot,Engineering,5800
2024-06-25,Printer toner and paper – Office Depot,536.32,Office Depot,Legal,5100
2024-06-04,Car rental – Hilton for site inspection,1639.32,Hilton,Executive,5200
2024-10-21,Print media advertisement – Google Ads,6657.59,Google Ads,HR,5800
2024-09-18,Print media advertisement – LinkedIn Marketing,18614.34,LinkedIn Marketing,Legal,5800
2024-11-13,Warehouse receipt – Grainger delivery,35830.15,Grainger,Legal,1300
2024-03-18,Leasehold improvements amortization,9309.56,Internal,Executive,6200
2024-12-10,Cloud hosting charges – Jira Atlassian,5975.05,Jira Atlassian,Sales,5400
2024-05-23,Email campaign platform – Meta Ads,12477.59,Meta Ads,Marketing,5800
2024-09-19,Bi-weekly salary disbursement – Executive,34744.99,ADP Payroll,Executive,5900
2024-10-28,Accrued tax liability – Q1,14009.37,ADP Payroll,HR,2200
2024-10-17,Customer balance – Acme Corp Q3 billing,25151.05,Acme Corp,Engineering,1200
2024-08-21,Trade show booth – LinkedIn Marketing expo,8051.65,LinkedIn Marketing,Legal,5800
2024-04-01,Water and sewage charges – Comcast Business,4963.23,Comcast Business,Engineering,5300
2024-05-06,Cash deposit at branch office,22650.57,Chase Bank,Legal,1100
2024-04-21,Wholesale product shipment to Costco,119583.86,Costco,Finance,4100
2024-06-11,Monthly electricity bill – Comcast Business,2301.34,Comcast Business,Finance,5300
2024-09-14,Annual license – Salesforce enterprise plan,13593.73,Salesforce,Executive,5400
2024-05-25,Parking facility lease – Brookfield Properties,7723.62,Brookfield Properties,Finance,5700
2024-08-21,Agent commission – contract #2601,3599.76,Internal Sales,Engineering,5600
2024-10-16,Net income transfer to retained earnings,57509.15,Internal,Legal,3100
2024-09-05,Contractor payment – Paychex,81045.35,Paychex,IT,5900
2024-06-07,Warehouse lease payment – Brookfield Properties,18703.48,Brookfield Properties,HR,5700
2024-02-17,Co-working space rental – Brookfield Properties,7826.7,Brookfield Properties,Sales,5700
2024-04-21,Email campaign platform – Mailchimp,16882.91,Mailchimp,IT,5800
2024-10-18,Employee wages – pay period #3298,82014.31,Paychex,Sales,5900
2024-09-28,Implementation services – project #5135,52953.11,Deloitte,Operations,4200
2024-07-02,Property insurance renewal – Hartford,5721.84,Hartford,IT,6100
2024-04-06,Cyber liability insurance – State Farm,4601.41,State Farm,Operations,6100
2024-10-31,Wholesale product shipment to Target,64327.73,Target,Engineering,4100
2024-05-26,Flight booking – IT team to conference,5758.28,Delta Airlines,IT,5200
2024-11-27,Annual license – Salesforce enterprise plan,12070.42,Salesforce,Sales,5400
2024-10-16,Office supplies purchase from Quill,1330.9,Quill,Engineering,5100
2024-05-15,Warehouse lease payment – CBRE Group,19936.03,CBRE Group,Engineering,5700
2024-05-25,Monthly payroll – IT department,51662.16,ADP Payroll,IT,5900
2024-11-25,Wholesale product shipment to Amazon,95663.59,Amazon,HR,4100
2024-11-08,Monthly office rent – Brookfield Properties building,10377.66,Brookfield Properties,Engineering,5700
2024-04-04,Monthly retainer – Deloitte advisory,17723.52,Deloitte,Sales,4200
2024-11-18,Property insurance renewal – Allianz,13050.33,Allianz,IT,6100
2024-03-21,Car rental – Marriott Hotels for site inspection,1513.38,Marriott Hotels,Engineering,5200
2024-11-17,ATM withdrawal for operations,15466.4,Bank of America,Engineering,1100
2024-05-18,HR consulting retainer – BDO,10014.86,BDO,Marketing,5500
2024-09-26,Desk accessories and organizers – Amazon Business,1562.22,Amazon Business,Engineering,5100
2024-10-15,Warehouse lease payment – CBRE Group,23631.78,CBRE Group,IT,5700
2024-04-23,Dividend declaration – Q3 distribution,14517.26,Internal,Sales,3100
2024-07-02,Monthly payroll – HR department,15216.74,Paychex,HR,5900
2024-05-25,Google Ads campaign – HR budget Q2,889.56,Trade Show Inc,HR,5800
2024-03-29,Dividend declaration – Q4 distribution,171923.53,Internal,Executive,3100
2024-05-25,Bi-weekly salary disbursement – Engineering,66722.97,ADP Payroll,Engineering,5900
2024-05-26,Agent commission – contract #6291,14719.73,Sales Team,Finance,5600
2024-05-11,Accounting & audit services – Grant Thornton,45225.7,Grant Thornton,Marketing,5500
2024-05-14,Cyber liability insurance – AIG,7309.65,AIG,Marketing,6100
2024-03-14,Agent commission – contract #3193,14114.86,Channel Partners,IT,5600
2024-12-01,Internet service – Pacific Gas & Electric fiber plan,774.59,Pacific Gas & Electric,Marketing,5300
2024-08-11,Monthly SaaS subscription – Slack,6214.3,Slack,Operations,5400
2024-12-04,Per diem expenses – client visit United Airlines,7426.48,United Airlines,Sales,5200
2024-12-27,Accrued tax liability – Q4,29217.15,Tax Authority,Finance,2200
2024-11-08,Product licensing revenue from Target,104683.68,Target,Legal,4100
2024-06-16,Product licensing revenue from Walmart,114771.67,Walmart,Marketing,4100
2024-05-26,Internet service – AT&T fiber plan,583.42,AT&T,Marketing,5300
2024-11-08,Accounting & audit services – KPMG,3703.74,KPMG,Legal,5500
2024-07-10,Accounting & audit services – Ernst & Young,25606.87,Ernst & Young,Executive,5500
2024-11-25,Bulk materials procurement from MaterialWorld,19329.04,MaterialWorld,Legal,1300
2024-09-03,Influencer partnership – Google Ads,14426.37,Google Ads,HR,5800
2024-06-18,Depreciation – computer hardware Q1,7581.87,Internal,Marketing,6200
2024-03-31,Storage unit rental – Brookfield Properties,16775.88,Brookfield Properties,IT,5700
2024-11-24,Legal consultation fee – Ernst & Young,18226.2,Ernst & Young,IT,5500
2024-03-24,Overtime compensation – Sales team,106769.98,Paychex,Sales,5900
2024-05-04,Monthly retainer – PwC Engagement advisory,75262.23,PwC Engagement,Legal,4200
2024-02-16,D&O insurance policy – State Farm,3661.64,State Farm,Engineering,6100
2024-02-27,Print media advertisement – Mailchimp,9876.77,Mailchimp,Executive,5800
2024-11-01,Flight booking – Marketing team to conference,4239.08,United Airlines,Marketing,5200
2024-02-06,Prior period adjustment – retained earnings,123261.21,Internal,Legal,3100
2024-04-02,Tax preparation – KPMG engagement,46121.2,KPMG,Legal,5500
2024-05-14,Accrued wages payable – Sales department,11789.08,Internal,Sales,2200
2024-11-19,Software renewal – Adobe Creative Cloud platform,11246.51,Adobe Creative Cloud,Finance,5400
2024-01-01,Accounting & audit services – BDO,11479.86,BDO,Executive,5500
2024-10-01,Tax preparation – KPMG engagement,41430.14,KPMG,Engineering,5500
2024-11-22,Travel reimbursement – employee #5262,6317.94,United Airlines,Operations,5200
2024-12-10,Developer tools subscription – Salesforce,12534.27,Salesforce,HR,5400
2024-08-02,Cyber liability insurance – AIG,4831.75,AIG,Marketing,6100
2024-12-08,Developer tools subscription – Adobe Creative Cloud,11504.6,Adobe Creative Cloud,Finance,5400
2024-06-18,Warehouse lease payment – Regus,7895.7,Regus,IT,5700
2024-09-02,Vendor invoice from Office Depot – due net 30,15871.37,Office Depot,Operations,2100
2024-01-23,Leasehold improvements amortization,1323.41,Internal,Executive,6200
2024-11-19,Bulk materials procurement from McMaster-Carr,53585.65,McMaster-Carr,HR,1300
2024-03-28,D&O insurance policy – Chubb,12181.07,Chubb,Engineering,6100
2024-01-02,Social media advertising – Google Ads,18305.52,Google Ads,Operations,5800
2024-12-01,Wholesale product shipment to Walmart,142170.91,Walmart,Marketing,4100
2024-01-20,Telephone/VoIP charges – AT&T,3058.24,AT&T,Executive,5300
2024-05-11,Accounting & audit services – Grant Thornton,37705.73,Grant Thornton,IT,5500
2024-05-11,Bi-weekly salary disbursement – Marketing,74793.95,ADP Payroll,Marketing,5900
2024-08-16,Water and sewage charges – Pacific Gas & Electric,1929.87,Pacific Gas & Electric,Marketing,5300
2024-10-07,Cyber liability insurance – State Farm,11338.44,State Farm,Engineering,6100
2024-02-22,Co-working space rental – JLL,28018.93,JLL,Engineering,5700
2024-07-29,Channel partner commission – Channel Partners,21643.79,Channel Partners,Operations,5600
2024-07-23,Telephone/VoIP charges – ConEdison,1057.06,ConEdison,HR,5300
2024-11-14,Google Ads campaign – Sales budget Q1,2604.69,Meta Ads,Sales,5800
2024-09-30,Service contract revenue – Deloitte,63994.88,Deloitte,HR,4200
2024-06-09,HR consulting retainer – Grant Thornton,45062.95,Grant Thornton,Executive,5500
2024-08-31,Referral bonus payout – partner Sales Team,5047.74,Sales Team,Marketing,5600
2024-10-26,Depreciation – computer hardware Q2,1585.71,Internal,Executive,6200
2024-10-04,Storage unit rental – CBRE Group,17702.07,CBRE Group,Operations,5700
2024-02-08,Online sales revenue – batch #8075,58605.91,Best Buy,Marketing,4100
2024-01-19,Retained earnings adjustment – FY closing,158753.2,Internal,Finance,3100
2024-01-02,AP entry – Dell Technologies supplies,30340.93,Dell Technologies,IT,2100
2024-01-07,Telephone/VoIP charges – AT&T,3725.27,AT&T,Operations,5300
2024-11-12,Monthly retainer – Boston Consulting advisory,76927.89,Boston Consulting,Sales,4200
2024-06-16,Online sales revenue – batch #5441,36643.08,Best Buy,Executive,4100
2024-05-02,Professional services rendered to Deloitte,27905.06,Deloitte,Engineering,4200
2024-03-22,Internet service – Comcast Business fiber plan,2217.93,Comcast Business,Operations,5300
2024-02-22,Accounting & audit services – Ernst & Young,42929.89,Ernst & Young,Executive,5500
2024-07-15,D&O insurance policy – Allianz,675.31,Allianz,HR,6100
2024-03-07,Wholesale product shipment to Home Depot,80634.37,Home Depot,Sales,4100
2024-05-07,Flight booking – HR team to conference,2318.88,Marriott Hotels,HR,5200
2024-05-01,Google Ads campaign – Engineering budget Q4,3111.32,Meta Ads,Engineering,5800
2024-04-01,Referral bonus payout – partner Internal Sales,19367.16,Internal Sales,Finance,5600
2024-12-19,General liability insurance premium – Chubb,11059.66,Chubb,Engineering,6100
2024-09-28,Accrued interest on credit facility,13627.83,ADP Payroll,IT,2200
